year,cause,lon,lat,n
2015,"Sickness, accidents and harsh conditions",12.8,34.4,29
2015,Drowning,13,34.4,307
2015,Drowning,113.5,22.2,15
2015,Drowning,13.4,36,50
2015,Drowning,-17.1,20.9,25
2015,Drowning,48.4,13.6,42
2015,Drowning,-11.9,28.7,12
2015,Drowning,27.4,37,20
2015,Drowning,11.1,33.5,10
2015,"Sickness, accidents and harsh conditions",8,19.1,13
2015,Mixed or unknown,92.5,17.6,243
2015,Drowning,89.5,13.5,130
2015,Drowning,27,37.5,50
2015,Drowning,-72.3,19.8,40
2015,Mixed or unknown,14.7,34.2,15
2015,Drowning,17.6,36.2,400
2015,Drowning,-99.5,27.5,20
2015,Violence,14.4,35.7,12
2015,Drowning,14.4,34.9,41
2015,Drowning,14.7,35,1022
2015,Transport hazards,21.8,41.7,14
2015,Mixed or unknown,98.7,8.5,36
2015,Drowning,18.1,31.6,10
2015,Mixed or unknown,14.3,36.4,46
2015,Violence,95.7,11.3,100
2015,Mixed or unknown,95.3,11.8,10
2015,Drowning,94,19.8,47
2015,Drowning,26.3,38.3,39
2015,Violence,100.2,6.7,106
2015,Mixed or unknown,18.1,35.1,25
2015,Mixed or unknown,95,10,60
2015,"Sickness, accidents and harsh conditions",5.7,19.4,16
2015,"Sickness, accidents and harsh conditions",12.9,19,15
2015,Drowning,-4,35.4,22
2015,Drowning,27,37.4,18
2015,Mixed or unknown,26.4,37.8,12
2015,Drowning,13.7,32.8,30
2015,Drowning,13.1,32.9,100
2015,Drowning,26.5,39.3,103
2015,Drowning,14.7,34.2,45
2015,Drowning,12.8,34.3,227
2015,Transport hazards,26.7,39.3,10
2015,Drowning,15.4,37.9,60
2015,Transport hazards,27.3,36.9,49
2015,Mixed or unknown,27.3,36.9,12
2015,Mixed or unknown,-97.9,18.1,19
2015,Mixed or unknown,100.2,6.4,24
2015,Transport hazards,14.7,34.2,52
2015,Transport hazards,16.4,48.2,71
2015,Drowning,16.4,32.2,202
2015,Drowning,13.1,32.8,37
2015,Drowning,28.3,37.2,15
2015,Drowning,103.4,4.2,61
2015,Drowning,15.4,33,44
2015,Drowning,30.3,31.9,20
2015,Drowning,27.1,37.3,85
2015,Drowning,12.6,34.9,22
2015,"Sickness, accidents and harsh conditions",21.9,23.3,27
2015,"Sickness, accidents and harsh conditions",14.5,27,35
2015,Violence,14.5,27,38
2015,Mixed or unknown,21.9,23.3,54
2015,Drowning,26,39.4,41
2015,Drowning,26.2,39.4,68
2015,Drowning,27.3,36.9,36
2015,Drowning,34.7,36.5,17
2015,Drowning,43.3,-11.6,22
2015,Drowning,27,37,24
2015,Drowning,12.8,32.8,95
2015,Mixed or unknown,19.7,23.2,14
2015,Drowning,31.1,31.6,17
2015,Mixed or unknown,22.6,22.8,28
2015,"Drowning,Mixed or unknown",26.4,39.4,13
2015,Transport hazards,51,35.2,20
2015,"Sickness, accidents and harsh conditions",24,20.6,30
2015,Transport hazards,14.8,26.1,20
2015,Drowning,26.4,39.4,13
2015,Drowning,26.6,39.4,23
2015,Drowning,14.5,32.5,43
2015,Drowning,26.4,39.3,11
2015,Drowning,-3.9,35.3,39
2015,Drowning,27,37.8,17
2015,Violence,34.2,31.2,15
2015,Drowning,34.2,31.2,15
2015,Violence,25.7,19.7,12
2015,Drowning,-15.3,26.5,38
2015,Transport hazards,21.9,23.3,19
2015,Violence,21.9,23.3,12
2015,"Sickness, accidents and harsh conditions",20,30.4,11
2015,Drowning,26.8,39.1,20
2015,Drowning,-83.3,23.9,13
2015,Mixed or unknown,-101.1,29.8,123
2015,Drowning,44.9,-12.6,35
2016,Drowning,26.7,37.7,68
2016,Drowning,26.9,39.1,36
2016,Drowning,45.6,10.8,36
2016,Mixed or unknown,27.9,19.4,12
2016,"Sickness, accidents and harsh conditions",31.5,23.3,17
2016,Mixed or unknown,31.5,23.3,10
2016,Drowning,26.4,39.5,10
2016,Drowning,-77,8.3,15
2016,"Sickness, accidents and harsh conditions",32.5,15.5,12
2016,Drowning,11.9,37.1,79
2016,"Sickness, accidents and harsh conditions",19.7,23.2,76
2016,Transport hazards,29,-24.2,14
2016,Transport hazards,34,17.7,21
2016,Drowning,26.6,38.7,24
2016,Drowning,27,37,44
2016,Drowning,104.2,1.5,35
2016,Drowning,27.3,37.4,21
2016,Drowning,27.3,36.9,15
2016,Violence,14.3,27.1,33
2016,"Sickness, accidents and harsh conditions",14.3,27.1,15
2016,Drowning,-15.6,26.9,35
2016,Violence,35.3,14,37
2016,"Sickness, accidents and harsh conditions",14.4,27,25
2016,"Sickness, accidents and harsh conditions",35.3,14,11
2016,Mixed or unknown,19.7,23.2,108
2016,Mixed or unknown,-99.3,27.7,23
2016,"Drowning,Harsh environmental conditions / lack of adequate shelter, food, water",-15.6,26.9,57
2016,Drowning,26.1,39.2,43
2016,Drowning,-80,9.3,26
2016,Mixed or unknown,33,24.1,11
2016,"Sickness, accidents and harsh conditions",19.1,30.3,12
2016,Violence,37.3,11.6,12
2016,Transport hazards,32.5,15.5,34
2016,Violence,19.7,23.2,14
2016,Transport hazards,35.3,14,20
2016,Transport hazards,14.7,26.1,30
2016,Drowning,46.4,12.4,24
2016,Drowning,-99.4,24.2,17
2016,Violence,13.2,32.9,13
2016,Drowning,45,-12.8,10
2016,Mixed or unknown,-2.5,36.8,20
2016,Drowning,27.2,37.3,34
2016,Mixed or unknown,30.7,23.5,36
2016,Mixed or unknown,34,17.7,18
2016,Transport hazards,19.7,23.2,30
2016,Mixed or unknown,33.8,17.7,11
2016,Drowning,13.2,32.9,51
2016,Drowning,13.7,32.8,12
2016,Mixed or unknown,-98.4,26.4,19
2016,Drowning,16.2,33.4,117
2016,Drowning,12.4,32.8,341
2016,Drowning,25.2,31.6,459
2016,Mixed or unknown,12.5,35.5,32
2016,"Sickness, accidents and harsh conditions",27.9,19.4,16
2016,Mixed or unknown,33.3,19.5,38
2016,Violence,14,31.8,13
2016,Drowning,-15.8,26.8,20
2016,Drowning,-5.3,35.9,15
2016,Drowning,-16.4,26.4,57
2016,Drowning,-4.1,35.4,45
2016,Mixed or unknown,32.5,15.5,18
2016,Mixed or unknown,9.1,40,10
2016,Drowning,-103.4,27.1,11
2016,Drowning,-77.5,25,10
2016,Drowning,12.7,32.8,411
2016,Drowning,12.1,33.1,550
2016,Drowning,12.1,35.1,263
2016,Transport hazards,12.7,22.1,13
2016,Drowning,25.2,35.3,339
2016,"Sickness, accidents and harsh conditions",5.7,19.4,34
2016,Transport hazards,28.7,-11.9,19
2016,Mixed or unknown,32,23.1,15
2016,Violence,36.5,36.7,11
2016,Mixed or unknown,12.4,32.8,12
2016,Drowning,17.9,40.7,17
2016,Mixed or unknown,11.9,37.1,15
2016,Transport hazards,10.3,19.7,15
2016,Drowning,-64.9,18.3,15
2016,Drowning,12.9,33.2,21
2016,Mixed or unknown,31,21.9,15
2016,Mixed or unknown,-99.9,27.7,32
2016,Mixed or unknown,16.2,33.4,20
2016,Transport hazards,16.2,33.4,22
2016,Drowning,-5.4,35.8,10
2016,Drowning,103.7,2.3,26
2016,"Sickness, accidents and harsh conditions",12.4,23.7,10
2016,Drowning,-85.6,11.2,10
2016,Drowning,12.9,32.8,21
2016,Drowning,12.4,32.9,33
2016,Mixed or unknown,10.9,39,21
2016,Mixed or unknown,15.4,26.8,10
2016,Mixed or unknown,-77.3,8.7,20
2016,Drowning,10.9,39,18
2016,Drowning,30.3,31.5,288
2016,Drowning,-81.1,24.7,20
2016,Drowning,23.9,32.1,18
2016,Drowning,27.4,37,27
2016,Transport hazards,58.5,27.4,14
2016,Mixed or unknown,15.1,32.7,10
2016,Drowning,13.7,32.9,11
2016,"Sickness, accidents and harsh conditions",14.5,34.3,28
2016,Mixed or unknown,43.3,12,24
2016,Transport hazards,24.9,12.1,30
2016,Transport hazards,31.5,23.3,32
2016,Drowning,14.5,34.3,594
2016,Mixed or unknown,14.5,34.3,155
2016,Mixed or unknown,-105.5,23.5,44
2016,Transport hazards,16.4,30.9,29
2016,Drowning,13.2,33,108
2016,Drowning,16.4,30.9,111
2016,Drowning,123,-1.5,60
2016,Mixed or unknown,-79.7,25.4,19
2016,Drowning,92.2,21,38
2016,Mixed or unknown,12.4,36.5,28
2016,Transport hazards,32.4,17.9,15
2016,Drowning,15.9,34.2,24
2016,Mixed or unknown,13.3,32.8,38
2016,Drowning,53.6,12.6,20
2016,Drowning,12,36.8,20
2016,Mixed or unknown,92.2,21,18
2016,"Sickness, accidents and harsh conditions",11.7,32.4,20
2016,Mixed or unknown,32.6,-26,12
2016,Mixed or unknown,12,36.8,106
2016,Mixed or unknown,-95.9,18.3,12
2016,Drowning,-99.5,27.4,12
2017,Mixed or unknown,-113.1,32.3,10
2017,Mixed or unknown,34,17.7,14
2017,Drowning,12.4,32.8,159
2017,"Sickness, accidents and harsh conditions",12,33,14
2017,Drowning,-98.4,26.1,12
2017,Drowning,12.6,33.1,176
2017,Drowning,-5.6,36,23
2017,Mixed or unknown,-98.2,27.1,12
2017,Mixed or unknown,13.7,25,15
2017,Mixed or unknown,16.3,29.8,32
2017,Drowning,13.1,32.9,113
2017,Drowning,104,2.1,31
2017,Drowning,-72.1,21.7,68
2017,"Sickness, accidents and harsh conditions",8,17,23
2017,"Sickness, accidents and harsh conditions",13.2,32.9,10
2017,Mixed or unknown,32.9,24.1,17
2017,Drowning,116.1,6.3,13
2017,Drowning,-5.8,35.9,15
2017,Drowning,14.3,32.7,162
2017,Drowning,12.7,32.8,214
2017,Mixed or unknown,-113.1,32.4,12
2017,Transport hazards,52.4,33.3,10
2017,Drowning,-69,18.8,12
2017,Transport hazards,14.2,32.7,13
2017,Drowning,12,33,17
2017,Mixed or unknown,14,31.8,12
2017,"Sickness, accidents and harsh conditions",12.4,32.8,30
2017,Drowning,13.4,32.9,80
2017,Drowning,13,35.1,146
2017,Violence,12.4,32.8,26
2017,Mixed or unknown,12.4,32.8,10
2017,Violence,38,18.8,42
2017,Transport hazards,62.3,27.4,15
2017,Drowning,12.5,33.4,10
2017,Transport hazards,12.7,32.8,11
2017,Drowning,12.2,32.9,68
2017,Drowning,27.2,37.7,11
2017,Transport hazards,42.4,11.6,30
2017,Transport hazards,57.6,29.5,10
2017,Drowning,13.7,32.8,56
2017,Drowning,26.2,39.4,23
2017,Violence,14,31.8,21
2017,Drowning,-99.5,27.5,37
2017,Drowning,18,31.8,19
2017,Drowning,12.7,35.5,82
2017,Drowning,44.8,-12.6,11
2017,Mixed or unknown,13.3,35.2,20
2017,Drowning,-2.9,35.3,11
2017,Drowning,13,33.1,156
2017,Violence,36.2,36,17
2017,Drowning,13,34.1,82
2017,Mixed or unknown,11.7,18.9,10
2017,Drowning,12.5,33.2,20
2017,Drowning,14.8,34.5,57
2017,Mixed or unknown,13.9,34.4,10
2017,Drowning,15.2,34.4,20
2017,"Sickness, accidents and harsh conditions",12.5,19.2,44
2017,Mixed or unknown,10,34,13
2017,Violence,13.2,32.9,16
2017,"Sickness, accidents and harsh conditions",11.9,22.9,12
2017,Drowning,11.1,33.5,29
2017,Mixed or unknown,13,20.3,15
2017,Transport hazards,13,20.2,13
2017,Drowning,12.9,33.7,60
2017,Drowning,17.7,32.2,126
2017,Mixed or unknown,14.4,27,12
2017,Violence,8.4,19.3,12
2017,Drowning,12.5,32.9,115
2017,Mixed or unknown,5.8,19.6,11
2017,"Sickness, accidents and harsh conditions",13.1,20.8,52
2017,Violence,36.4,36,15
2017,Mixed or unknown,36.2,13,13
2017,Mixed or unknown,33.5,14.4,10
2017,"Sickness, accidents and harsh conditions",8,17.1,21
2017,Drowning,12,36,60
2017,Mixed or unknown,13.9,26.3,10
2017,Mixed or unknown,22.8,22.1,10
2017,Drowning,-3,35.9,49
2017,"Sickness, accidents and harsh conditions",25.2,28.4,40
2017,Drowning,13,33.6,35
2017,Mixed or unknown,8,17,25
2017,Violence,36.3,36,16
2017,"Sickness, accidents and harsh conditions",8.1,17.7,29
2017,Mixed or unknown,-98.6,29.5,10
2017,Transport hazards,12.6,34.1,16
2017,Drowning,46.5,13.3,35
2017,Mixed or unknown,46.4,13.2,18
2017,Drowning,44.7,-12.5,11
2017,Drowning,11.5,33.5,120
2017,Transport hazards,20.1,30.2,26
2017,Drowning,92.3,20.8,77
2017,Drowning,92.3,21.1,32
2017,"Sickness, accidents and harsh conditions",24.8,30.5,16
2017,Drowning,92.3,20.9,16
2017,"Sickness, accidents and harsh conditions",14.5,27,10
2017,Transport hazards,13.2,22,20
2017,Drowning,92.1,21.1,64
2017,Violence,44.8,38,10
2017,Drowning,92.4,20.8,42
2017,Drowning,-71.4,19.6,16
2017,Violence,52.7,29.8,23
2017,Drowning,12.4,33.6,97
2017,Drowning,30.3,41.5,38
2017,Drowning,13.2,33.4,68
2017,Drowning,11.7,34.8,49
2017,Transport hazards,34.4,-15.4,11
2017,Transport hazards,10.3,19.5,16
2017,Drowning,-72.6,20.2,37
2017,Mixed or unknown,14.1,31.8,67
2017,Mixed or unknown,14.3,26.5,10
2017,Drowning,27.1,37,10
2017,Drowning,13.1,34,76
2017,Mixed or unknown,13.1,34.1,35
2017,Drowning,13.8,34.3,34
2017,Violence,63.1,26,15
2017,Drowning,-5.9,35.9,28
2017,"Sickness, accidents and harsh conditions",14.1,29.1,10
2017,Transport hazards,36.2,36.1,10
2017,Drowning,-69.1,18.1,12
2017,Mixed or unknown,-99,27.8,21
2018,Mixed or unknown,13.3,34.1,64
2018,Drowning,13.8,33,12
2018,Drowning,14.6,33.5,100
2018,Drowning,-5.7,35.9,11
2018,Drowning,-68.8,12.1,18
2018,Mixed or unknown,27.7,21.9,33
2018,Mixed or unknown,34.4,18.1,24
2018,Mixed or unknown,8.8,14.7,13
2018,Transport hazards,57.9,49.1,52
2018,"Sickness, accidents and harsh conditions",36,33.7,16
2018,Drowning,13.7,32.8,12
2018,Drowning,44.4,-12.1,16
2018,Mixed or unknown,27.1,19.6,39
2018,Drowning,-99.5,27.5,12
2018,Drowning,-0.8,35.8,26
2018,Drowning,44,12.4,30
2018,Mixed or unknown,27.9,20.6,11
2018,"Drowning,Mixed or unknown",13.5,34.8,35
2018,Violence,39.6,5.3,17
2018,Mixed or unknown,14,31.7,12
2018,Transport hazards,23.8,21.1,14
2018,Drowning,12.2,33.2,100
2018,Drowning,-2.8,35.6,47
2018,Mixed or unknown,12.5,32.8,10
2018,Drowning,46.5,13.3,25
2018,Drowning,12.1,32.9,24
2018,Transport hazards,14.7,31.6,19
2018,Drowning,-100.5,28.7,12
2018,Drowning,12.6,33.4,21
2018,Transport hazards,-5.7,11.3,16
2018,Drowning,-2.6,35.5,12
2018,Mixed or unknown,8,17,10
2018,Drowning,27,37.5,19
2018,"Sickness, accidents and harsh conditions",8,17,23
2018,"Sickness, accidents and harsh conditions",27.9,20.6,12
2018,Transport hazards,-5.7,10.5,12
2018,Transport hazards,-4.3,11.2,10
2018,Drowning,-5.4,36,12
2018,Transport hazards,99.1,16.9,20
2018,Transport hazards,44,39.9,17
2018,Drowning,-5.8,36,11
2018,Drowning,26.3,40.9,10
2018,Violence,36.4,36,16
2018,Mixed or unknown,97.9,9.2,10
2018,"Sickness, accidents and harsh conditions",8.8,14.7,17
2018,Drowning,-6,35.6,36
2018,Drowning,12.6,32.9,11
2018,Drowning,-3.2,35.7,17
2018,Drowning,18.4,2.7,47
2018,Drowning,14.3,32.7,131
2018,Violence,14.1,31.8,15
2018,Drowning,-6.5,34.5,18
2018,Drowning,11.5,34.9,112
2018,Drowning,29.9,36.2,10
2018,Drowning,48.6,13.3,62
2018,Drowning,12.5,33.3,80
2018,Transport hazards,34.4,-15.3,12
2018,Drowning,-2.2,36.5,43
2018,Drowning,12.9,33,101
2018,Drowning,13.1,33,70
2018,Drowning,13.7,32.9,50
2018,Drowning,12.9,32.8,34
2018,Drowning,13.2,33.2,104
2018,Drowning,14.4,33,114
2018,Drowning,104.4,1.4,19
2018,Drowning,12.5,33.1,17
2018,Drowning,34,35.7,44
2018,Drowning,-4,35.5,10
2018,Mixed or unknown,-99,27.8,38
2018,Drowning,-5.2,35.9,11
2018,Drowning,-3.4,35.9,42
2018,Drowning,49,13.9,33
2018,Drowning,-2.2,35.1,52
2018,Drowning,-4.4,35.8,61
2018,"Sickness, accidents and harsh conditions",42.7,11.7,15
2018,Drowning,-3,36.1,15
2018,Drowning,-2.7,35.4,34
2018,Drowning,26.5,38.8,34
2018,Drowning,-3.1,36.1,20
2018,Transport hazards,24.4,40.9,11
2018,Transport hazards,27.2,38.3,22
2018,Drowning,-3.1,35.4,14
2018,Drowning,-3.1,35.8,54
2018,Drowning,-6,36.1,23
2018,Mixed or unknown,-2.9,35.5,31
2018,Drowning,26.7,39.1,10
2018,Drowning,8.4,38.8,10
2018,Drowning,-10.2,29.8,22
2018,Drowning,-2.7,35.3,29
2018,Drowning,15.4,32.8,15
2018,Drowning,-2.6,36.4,24
2018,Drowning,1.2,36.7,20
2018,Drowning,-5.9,35.9,12
2018,Transport hazards,37.6,-6.8,14
2018,Drowning,44.9,-12.6,13
2019,Drowning,16.6,31.2,16
2019,Drowning,16.5,31.2,10
2019,Mixed or unknown,14.5,27,13
2019,"Sickness, accidents and harsh conditions",14.4,27,11
2019,Drowning,-2.9,35.3,25
2019,Mixed or unknown,5.4,22.1,16
2019,Transport hazards,5.5,20.1,21
2019,Drowning,-99.5,27.5,14
2019,"Sickness, accidents and harsh conditions",8,17,17
2019,Drowning,-3.2,35.7,53
2019,Drowning,14.1,34.2,117
2019,Mixed or unknown,-3,16.8,14
2019,"Sickness, accidents and harsh conditions",5.4,22.1,22
2019,Mixed or unknown,-0,16.2,14
2019,Drowning,-100.5,28.7,28
2019,Violence,14.4,27,10
2019,Drowning,-98.3,26.1,10
2019,Drowning,-77.3,8.6,24
2019,Drowning,43.3,11.9,70
2019,Violence,-0.9,14.2,18
2019,Mixed or unknown,8,17,21
2019,Drowning,-76.9,26.5,31
2019,Drowning,-5.9,35.9,12
2019,Transport hazards,-8,12.7,13
2019,Mixed or unknown,10.3,30.8,16
2019,Drowning,-5.8,35.9,17
2019,Mixed or unknown,14.4,27,19
2019,Mixed or unknown,-113.1,32.4,11
2019,Mixed or unknown,34,17.7,10
2019,Drowning,-5.3,35.9,10
2019,Violence,-3.1,14.1,25
2019,Transport hazards,-92.9,16.9,24
2019,"Sickness, accidents and harsh conditions",-5,15.7,15
2019,Drowning,-2.7,35.3,45
2019,Drowning,-10.5,29.4,19
2019,Mixed or unknown,14,31.8,33
2019,Transport hazards,99.6,13.9,10
2019,Drowning,12.4,32.8,41
2019,Drowning,-72.5,21.5,19
2019,Drowning,12.3,33.3,50
2019,"Sickness, accidents and harsh conditions",44.3,38,10
2019,Drowning,-99.5,27.6,14
2019,Mixed or unknown,26.2,18.4,10
2019,Mixed or unknown,91.8,22.3,14
2019,Drowning,-77.9,8.6,14
2019,Mixed or unknown,103.9,18.2,10
2019,Drowning,-61.8,10.6,23
2019,Transport hazards,-2.2,35,21
2019,Drowning,27.4,37,14
2019,Violence,14.2,-0.9,13
2019,Drowning,26.6,39.3,12
2019,Mixed or unknown,91.9,22.4,19
2019,Mixed or unknown,23.3,-1.3,14
2019,Drowning,11.3,34.6,59
2019,"Sickness, accidents and harsh conditions",23.3,-1.3,13
2019,"Sickness, accidents and harsh conditions",44.2,38.7,22
2019,Drowning,-62,10.5,29
2019,Mixed or unknown,100.4,13.7,13
2019,Drowning,13.8,33.4,27
2019,Mixed or unknown,13.3,38.1,10
2019,Violence,14.6,24.9,16
2019,Transport hazards,12.6,-8,19
2019,"Sickness, accidents and harsh conditions",12.4,-1.5,10
2019,Drowning,-68.7,11.8,32
2019,Mixed or unknown,-114.6,32.7,11
2019,Drowning,-3.1,35.9,22
2019,Drowning,-16.3,24.3,25
2019,Transport hazards,26.5,41.7,10
2019,Drowning,12.7,33,60
2019,"Drowning,Harsh environmental conditions / lack of adequate shelter, food, water",11.4,33.6,83
2019,Mixed or unknown,5.5,22.8,27
2019,Mixed or unknown,13.8,25.3,16
2019,Transport hazards,43.6,38.7,16
2019,Transport hazards,13.8,25.3,12
2019,Drowning,14.6,32.8,150
2019,Violence,43.4,17.3,10
2019,Mixed or unknown,44.7,12.7,15
2019,Mixed or unknown,15.9,35.1,14
2019,Transport hazards,102.1,13.4,10
2019,Drowning,12.4,32.9,100
2019,Mixed or unknown,100.8,13.8,21
2019,Drowning,14.6,33.2,40
2019,Drowning,-16.2,24.8,23
2019,Violence,47.8,10.4,10
2019,Transport hazards,-0.3,24.4,11
2019,Drowning,-1.7,36.6,15
2019,Drowning,3.6,37,13
2019,Drowning,-7.5,33.7,53
2019,"Sickness, accidents and harsh conditions",5.7,19.5,24
2019,Drowning,12.2,35.2,28
2019,Mixed or unknown,76,32.4,20
2019,Transport hazards,45.2,10.5,11
2019,Drowning,13.2,33.2,122
2019,Transport hazards,0.3,51.5,39
2019,Drowning,-13.4,29,11
2019,Transport hazards,61.2,28.2,33
2019,Violence,43.7,17,10
2019,Drowning,12.3,33.2,94
2019,Drowning,12.1,32.9,13
2019,Drowning,12.6,35.5,26
2019,"Sickness, accidents and harsh conditions",15.3,14.1,12
2019,Drowning,-3.4,36.2,73
2019,Violence,43.2,17.2,38
2019,Drowning,14.8,34.7,70
2019,Drowning,-17,21,62
2019,Drowning,-3.3,35.8,56
2019,Mixed or unknown,-3.3,35.6,31
2019,Drowning,-1,35.8,19
2019,Mixed or unknown,96.9,10.6,13
2019,Mixed or unknown,-99.4,27.5,84
2019,Drowning,-16.3,25.9,40
2019,Drowning,12.6,33.2,45
2019,"Sickness, accidents and harsh conditions",51.1,35.7,19
2020,Mixed or unknown,14,31.8,13
2020,Mixed or unknown,-113.1,32.4,17
2020,Drowning,29,36.6,15
2020,Transport hazards,98.5,16.7,20
2020,Drowning,2.9,37.8,17
2020,Drowning,12.7,32.9,17
2020,Drowning,20.2,39.2,32
2020,Drowning,26.3,38.3,11
2020,Drowning,12.5,32.9,114
2020,Drowning,-75.7,22.6,39
2020,Drowning,101.6,2.2,10
2020,Drowning,-100.5,28.7,11
2020,"Sickness, accidents and harsh conditions",43.9,39.1,12
2020,Drowning,-0.7,35.8,13
2020,Drowning,13.7,32.9,91
2020,Drowning,92.3,20.6,65
2020,Drowning,7.8,37.7,18
2020,Drowning,-15.9,23.7,14
2020,Drowning,-99.5,27.5,21
2020,Drowning,44.7,-12.5,10
2020,Drowning,10.7,36.4,20
2020,Drowning,-69.9,12.2,16
2020,"Sickness, accidents and harsh conditions",33.6,-16.1,64
2020,Drowning,-16.3,23.7,22
2020,Drowning,12.7,32.8,30
2020,Drowning,-11.1,28.2,41
2020,Mixed or unknown,12.6,35.3,12
2020,Mixed or unknown,95.7,11.3,70
2020,Violence,61.1,34.8,23
2020,Drowning,10.9,34.6,30
2020,Violence,13,32.2,30
2020,Drowning,13.4,33,15
2020,Transport hazards,82,28,12
2020,Mixed or unknown,99.9,6,31
2020,Drowning,11.1,34.7,61
2020,Drowning,12.6,32.8,15
2020,Mixed or unknown,97.2,6,12
2020,Drowning,42.9,38.5,62
2020,Drowning,-13,28,83
2020,Drowning,-67.9,18.3,12
2020,Drowning,11.2,35.2,25
2020,"Drowning,Harsh environmental conditions / lack of adequate shelter, food, water",-111.8,31.6,11
2020,Drowning,-1.2,36.1,13
2020,Drowning,-16,23.8,10
2020,Drowning,-17.2,21,39
2020,Drowning,43.4,12.4,14
2020,Drowning,12.4,33.7,45
2020,"Sickness, accidents and harsh conditions",-16.7,25.6,15
2020,Drowning,11.7,33.1,30
2020,Drowning,-2.2,36.3,11
2020,Drowning,-16.4,19,14
2020,"Sickness, accidents and harsh conditions",95.7,11.3,30
2020,"Drowning,Harsh environmental conditions / lack of adequate shelter, food, water",35.6,34.5,12
2020,Drowning,12.5,33.1,24
2020,Drowning,-1.1,35.7,13
2020,Drowning,45.1,-12.7,10
2020,Drowning,14.8,34,16
2020,Drowning,13.6,34.2,15
2020,Drowning,43.3,11.9,26
2020,Drowning,-2.7,35.4,12
2020,Drowning,1.3,36.6,12
2020,Violence,70.6,34.2,11
2020,"Sickness, accidents and harsh conditions",-18.2,26.5,17
2020,Drowning,12.6,35.5,11
2020,Drowning,-16.7,16,141
2020,Drowning,13.2,33,15
2020,Drowning,-12.7,28.1,12
2020,"Sickness, accidents and harsh conditions",-17,20.9,54
2020,Drowning,40.6,-10.8,38
2020,Drowning,20,33.3,10
2020,Drowning,2.8,36.7,12
2020,Drowning,-3.4,36.2,14
2020,Drowning,14.3,32.7,78
2020,Drowning,-81,23.8,18
2020,Drowning,0.1,35.9,11
2020,Drowning,12.1,33.1,34
2020,Drowning,-17.5,14.7,16
2020,Drowning,3.9,37.1,14
2020,Drowning,-22.8,16.7,35
2020,Drowning,14,33,50
2020,Drowning,-16,23.7,106
2020,Drowning,3.4,36.8,13
2020,Drowning,-69.6,19.1,15
2020,"Sickness, accidents and harsh conditions",-11.1,31.4,16
2020,Drowning,-68.6,18.9,21
2020,Drowning,-11.5,28.5,11
2020,Drowning,-16.7,18.1,32
2020,Drowning,-0.4,36.2,11
2020,Drowning,-62.1,10.5,33
2020,Drowning,-61.7,10.1,20
2020,Drowning,5.1,36.8,23
2020,Drowning,26.2,31.6,18
2020,Drowning,11.2,34.9,40
2020,Drowning,13.2,33.3,13
2020,Drowning,-18.1,23.6,49
